ID	Português	
$ABOUT_GESTALT_OS	Sobre Gestalt_SO	
$GESTALT_MANUFACTURING	Fabricação Gestalt	
$CORPORATION_R	Corporação (R)	
$GESTALT_OS_VERSION	Gestalt_SO 3.14 ("Beton")	
$COPYRIGHT_GMC_TRANSLATE_ACRONYM_PLEASE	Direitos de autor (C) 2019 CFG	
$CREDITS_THANKS_TO	Agradecimentos por testar e por dar feedback a: <NAMELIST>	
$CREDITS_LEVEL_DESIGN	Design de Níveis: Lucas Le Slo ( http://le-slo.itch.io ) - Stephen Lavelle	
$CREDITS_TRANSLATION	Traduções: <NAMELIST>	
$CREDITS_THE_REST	O resto: Stephen Lavelle ( http://www.increpare.com ).	
$BUTTON_OK	OK	
$TOOLTIP_CLEAR_PAGE	Limpar Página (N)	
$TOOLTIP_UNDO	Desfazer (Z)	
$TOOLTIP_REDO	Refazer (Y)	
$TOOLTIP_FULLSCREEN	Tela Cheia	
$TOOLTIP_LANGUAGE_TRANSLATE_LANGUAGE_NAME_ALSO	Linguagem: Português	
$TOOLTIP_ABOUT	Sobre esta aplicação	
$TOOLS	Ferramentas	
$WORKBENCH	Bancada de trabalho	
$GOAL_X_OF_Y	Objetivo (<X> de <Y>)	
$SOLVED	Resolvido	
$SOLVE	Resolver	
$CONGRATS	Parabéns!	
$CONGRATS_SENTENCE	Resolveste todos os níveis, parabéns!	
$WE_ARE_HAPPY	Muito obrigado por jogar. Esperamos que te tenhas divertido :)	
$TEXT_RESET	Apagar dados	
$TOOLTIP_RESET	Todos os dados guardados irão ser apagados. Tem a certeza?	
