ID	Italiano!	
$ABOUT_GESTALT_OS	Riguardo a Gestalt_OS	
$GESTALT_MANUFACTURING	Officine Gestalt	
$CORPORATION_R	Soc. An.	
$GESTALT_OS_VERSION	Gestalt_OS 3.13 ("Beton")	
$COPYRIGHT_GMC_TRANSLATE_ACRONYM_PLEASE	Copyright(C) 2019 OG Soc. An.	
$CREDITS_THANKS_TO	Grazie per il testing e per il feedback di: <NAMELIST>	
$CREDITS_LEVEL_DESIGN	Design dei livelli: Lucas Le Slo ( http://le-slo.itch.io ) - Stephen Lavelle	
$CREDITS_TRANSLATION	Traduzioni: <NAMELIST>	
$CREDITS_THE_REST	Il resto: Stephen Lavelle ( http://www.increpare.com ).	
$BUTTON_OK	OK	
$TOOLTIP_CLEAR_PAGE	Sgombra il banco da lavoro (N)	
$TOOLTIP_UNDO	Annulla (Z)	
$TOOLTIP_REDO	Ripeti (Y)	
$TOOLTIP_FULLSCREEN	Modalità schermo intero	
$TOOLTIP_LANGUAGE_TRANSLATE_LANGUAGE_NAME_ALSO	Lingua: Italiano	
$TOOLTIP_ABOUT	Informazioni su questa applicazione	
$TOOLS	Strumenti	
$WORKBENCH	Banco da lavoro	
$GOAL_X_OF_Y	Obiettivo (<X> di <Y>)	
$SOLVED	Risolto	
$SOLVE	Risolvi	
$CONGRATS	Congratulazioni	
$CONGRATS_SENTENCE	Congratulazioni, hai completato tutti i livelli!	
$WE_ARE_HAPPY	Grazie mille per aver giocato. Speriamo ti sia divertito.	
$TEXT_RESET	Reset	
$TOOLTIP_RESET	Resetta il gioco. Tutti i salvataggi verranno cancellati. Sei sicuro?	
